review_id,true_domain,review,dominant_topic,topic_top_words
120,streaming,The ending left too many plot threads unresolved for a satisfying conclusion.,3,"season, feels, plot, quality, conclusion"
155,clothing,True to size and the fabric breathes well even in warm weather.,0,"stitching, fabric, use, seams, wears"
145,clothing,Color faded noticeably after just a couple of washes.,4,"website, color, actual, misleading, different"
152,clothing,"Perfect fit right out of the box, exactly as described on the site.",4,"website, color, actual, misleading, different"
12,electronics,Software updates have made the device noticeably slower than when I bought it.,3,"season, feels, plot, quality, conclusion"
44,restaurant,The bread basket was stale and the butter tasted off.,0,"stitching, fabric, use, seams, wears"
168,clothing,"Sizing runs small, had to return it for a size up. Fabric feels premium and the stitching is very well done for the price.",0,"stitching, fabric, use, seams, wears"
99,hotel,Elevator was out of service for our entire three night stay. Room smelled musty and the carpet looked like it hadn't been vacuumed in weeks.,1,"room, great, beautiful, set, elegant"
148,clothing,"Extremely comfortable for everyday wear, my new favorite jacket.",2,"table, hard, conversation, noisy, restaurant"
150,clothing,"Photos on the website are misleading, actual color looks very different.",4,"website, color, actual, misleading, different"
90,hotel,The pool area was closed for renovation with no warning on the website.,4,"website, color, actual, misleading, different"
95,hotel,Check-out process was quick and the final bill matched what we expected. The room was spotless and the bed was one of the most comfortable I've slept in.,1,"room, great, beautiful, set, elegant"
23,electronics,"Storage fills up quickly, wish it came with more internal memory options. Fingerprint sensor is unreliable, often takes several tries to unlock.",0,"stitching, fabric, use, seams, wears"
159,clothing,"Love the design, gets compliments every time I wear it. Photos on the website are misleading, actual color looks very different.",4,"website, color, actual, misleading, different"
57,restaurant,"Portion sizes were tiny for the price, left the table still hungry. Ambiance is cozy and romantic, perfect for a date night dinner.",2,"table, hard, conversation, noisy, restaurant"
25,electronics,"The battery life on this phone is incredible, lasts almost two full days on a single charge. Build quality feels premium, the aluminum body is sturdy and looks great.",3,"season, feels, plot, quality, conclusion"
129,streaming,Video quality drops to standard definition randomly during playback. Storyline felt like a copy of other popular shows with nothing original.,3,"season, feels, plot, quality, conclusion"
153,clothing,Fabric feels premium and the stitching is very well done for the price.,0,"stitching, fabric, use, seams, wears"
112,streaming,Too many ads interrupted the movie even with a paid subscription.,3,"season, feels, plot, quality, conclusion"
5,electronics,Customer support was unhelpful when I asked about a defective charging port.,3,"season, feels, plot, quality, conclusion"
63,restaurant,"The dessert menu is fantastic, the chocolate lava cake was heavenly. Service was painfully slow, we waited over forty minutes just for appetizers.",1,"room, great, beautiful, set, elegant"
53,restaurant,Chef's tasting menu was an incredible culinary experience worth every penny.,2,"table, hard, conversation, noisy, restaurant"
108,streaming,Streaming quality kept buffering even with a strong internet connection.,3,"season, feels, plot, quality, conclusion"
162,clothing,The zipper broke within the first week of light use. Stitching came undone at the seams after only a few wears.,0,"stitching, fabric, use, seams, wears"
132,streaming,"The humor lands perfectly, laughed out loud multiple times. Subtitles were out of sync for most of the second half of the movie.",3,"season, feels, plot, quality, conclusion"
137,streaming,"The plot twist in the finale completely caught me off guard, brilliant writing. Documentary presented complex topics in a clear and engaging way.",3,"season, feels, plot, quality, conclusion"
3,electronics,"Fingerprint sensor is unreliable, often takes several tries to unlock.",0,"stitching, fabric, use, seams, wears"
78,hotel,Staff went above and beyond to accommodate our late arrival.,2,"table, hard, conversation, noisy, restaurant"
161,clothing,"Sizing runs small, had to return it for a size up. Buttons started falling off after minimal use, poor quality control.",0,"stitching, fabric, use, seams, wears"
30,electronics,"The processor handles multitasking effortlessly, apps open instantly. Fast charging is a game changer, went from 10% to 80% in under thirty minutes.",3,"season, feels, plot, quality, conclusion"
122,streaming,"The plot twist in the finale completely caught me off guard, brilliant writing.",3,"season, feels, plot, quality, conclusion"
60,restaurant,"Portions were generous and the flavors were bold and well balanced. Restaurant was extremely noisy, hard to have a conversation at our table.",2,"table, hard, conversation, noisy, restaurant"
165,clothing,"Extremely comfortable for everyday wear, my new favorite jacket. True to size and the fabric breathes well even in warm weather.",0,"stitching, fabric, use, seams, wears"
33,electronics,"Screen resolution is stunning but the battery drains way too fast for daily use. Fingerprint sensor is unreliable, often takes several tries to unlock.",0,"stitching, fabric, use, seams, wears"
101,hotel,"Housekeeping did a fantastic job, room was tidy every single day. Beautiful lobby with elegant decor that set a great first impression.",1,"room, great, beautiful, set, elegant"
38,restaurant,"Ambiance is cozy and romantic, perfect for a date night dinner.",2,"table, hard, conversation, noisy, restaurant"
22,electronics,Keyboard feels mushy and the trackpad is not very responsive. Packaging was damaged on arrival and the charger was missing from the box.,3,"season, feels, plot, quality, conclusion"
14,electronics,Speakers are surprisingly loud and clear for such a compact device.,3,"season, feels, plot, quality, conclusion"
82,hotel,Room smelled musty and the carpet looked like it hadn't been vacuumed in weeks.,1,"room, great, beautiful, set, elegant"
19,electronics,"The battery life on this phone is incredible, lasts almost two full days on a single charge.",1,"room, great, beautiful, set, elegant"
18,electronics,The display has beautiful colors and the refresh rate makes scrolling super smooth.,1,"room, great, beautiful, set, elegant"
136,streaming,"Cinematography is gorgeous, every scene looks like a painting. Binge-watched the whole season in one weekend, absolutely addictive story.",3,"season, feels, plot, quality, conclusion"
127,streaming,"Season two feels like a step down from the excellent first season. Character development felt rushed, motivations didn't make sense.",3,"season, feels, plot, quality, conclusion"
71,hotel,The concierge helped us book tours and was incredibly knowledgeable.,1,"room, great, beautiful, set, elegant"
116,streaming,The soundtrack perfectly matches the mood of every scene.,3,"season, feels, plot, quality, conclusion"
131,streaming,Streaming quality kept buffering even with a strong internet connection. Special effects looked cheap compared to other shows in the genre.,3,"season, feels, plot, quality, conclusion"
93,hotel,Staff went above and beyond to accommodate our late arrival. Room service arrived quickly and the food was surprisingly good for a hotel.,2,"table, hard, conversation, noisy, restaurant"
